lat,long,site
49.1,-97.84,45203
49.09,-90.43,68265
49.08,-112.39,4003
49.05,-80.87,68080
49.04,-99.21,45007
49.03,-120.38,11309
49.02,-114.04,4105
49.01,-99.61,45107
48.97,-122.14,89027
48.95,-94.99,50047
48.94,-94.25,68066
48.91,-64.61,76067
48.86,-101.54,64024
48.85,-93.63,68053
48.85,-117.88,89071
48.84,-55.5,57013
48.84,-100.24,64044
48.84,-117.18,89152
48.83,-104.84,53012
48.83,-121.9,89028
48.82,-124.05,11402
48.78,-123.6,11001
48.78,-96.07,50051
48.78,-95.3,50081
48.77,-96.31,50082
48.77,-67.69,76262
48.76,-86.53,68078
48.72,-119.27,89030
48.71,-85.75,68072
48.7,-121.21,89004
48.68,-111.46,53105
48.67,-118.11,89070
48.66,-102.69,64039
48.64,-53.87,57012
48.58,-116.39,33001
48.58,-103.05,64038
48.58,-81,68233
48.58,-72.43,76053
48.56,-68.31,76159
48.54,-68.22,76059
48.53,-122.47,89066
48.53,-120.3,89068
48.5,-120.17,89029
48.47,-116.84,33029
48.44,-101.64,64023
48.42,-94.95,50080
48.42,-70.5,76058
48.41,-64.31,76165
48.4,-100.65,64028
48.38,-117.27,89032
48.35,-115.03,53001
48.35,-120.21,89005
48.33,-88.82,68036
48.33,-68.05,76069
48.3,-95.57,50050
48.29,-117.77,89008
48.28,-93.55,50046
48.28,-98.72,64016
48.26,-94.55,50048
48.26,-99.35,64018
48.25,-124.27,89001
48.25,-120.15,89049
48.23,-81.84,68274
48.23,-78.43,76345
48.23,-64.86,76565
48.22,-107.86,53009
48.22,-58.84,57016
48.22,-118.7,89031
48.22,-119.04,89069
48.2,-106.53,53010
48.17,-57.74,57015
48.17,-121.47,89048
48.16,-122.33,89003
48.11,-123.38,89002
48.1,-114.46,53002
48.1,-79.25,76343
48.09,-119.8,89006
48.07,-95.63,50049
48.06,-110.33,53006
48.05,-105.99,53011
48.02,-98.43,64015
47.98,-79.77,68247
47.96,-123.49,89053
47.94,-80.68,68248
47.93,-89.97,50031
47.92,-122.3,89072
47.91,-66.21,56110
47.9,-96.3,50044
47.88,-117.98,89077
47.84,-97.6,64007
47.81,-71.51,76237
47.79,-95.11,50042
47.78,-116.66,33002
47.78,-90.87,50071
47.78,-109.41,53019
47.76,-95.83,50041
47.76,-92,50073
47.75,-120.35,89113
47.74,-101.5,64041
47.74,-81.66,68278
47.74,-120.66,89074
47.74,-121.98,89111
47.73,-90.7,50032
47.73,-117.92,89016
47.71,-114.2,53014
47.71,-53.49,57004
47.7,-91.53,50033
47.66,-114.13,53074
47.66,-119.63,89075
47.64,-115.17,53063
47.64,-100.05,64042
47.64,-70.62,76039
47.64,-70.61,76439
47.63,-81.18,68277
47.61,-93.19,50038
47.61,-103.54,64033
47.6,-106.9,53022
47.58,-52.67,57003
47.58,-82.75,68076
47.55,-91.34,50072
47.55,-120.68,89036
47.54,-105.81,53023
