,site,lat,long
86621,63308,35.14,-82.83
86776,63313,35.75,-77.23
86672,63311,35.1,-77.19
86930,63319,35.24,-77.06
31987,14225,36.74,-121.15
31628,14195,36.25,-121.42
29634,14108,36.45,-121.69
92225,67070,36.77,-101.18
107014,83104,36.46,-100.44
106996,83103,36.28,-101.04
91809,67059,35.97,-96.29
91331,67026,36.76,-96.06
92093,67065,36.75,-96.36
70567,52002,36.59,-90.74
71744,52053,36.72,-90.98
24347,7025,36.44,-90.92
102620,82002,36.3,-89.36
102560,82001,36.41,-89.43
70516,52001,36.82,-89.24
102825,82008,36.17,-88.31
53640,39003,36.68,-88.18
53695,39004,36.79,-87.96
103085,82013,36.17,-86.99
53757,39005,36.66,-87.0
104141,82114,36.55,-87.75
103737,82026,36.5,-85.67
53931,39009,36.7,-85.26
53872,39008,36.81,-85.71
103919,82034,36.04,-84.34
53994,39010,36.61,-84.99
54062,39011,36.82,-84.83
86353,63301,36.55,-81.48
114513,88047,36.74,-80.91
86412,63302,36.34,-80.6
114194,88039,36.6,-79.76
114145,88037,36.76,-80.19
86299,63234,36.49,-80.53
114242,88040,36.63,-79.25
84925,63014,35.98,-79.46
86470,63303,36.47,-79.11
86253,63232,36.45,-78.43
86526,63304,36.17,-78.21
85086,63024,36.25,-77.97
114341,88043,36.6,-77.14
84759,63010,35.96,-77.44
114401,88044,36.59,-77.28
30259,14155,37.51,-121.15
31356,14189,37.25,-121.67
32155,14303,37.66,-121.73
111831,85320,37.32,-112.45
110373,85020,37.41,-112.79
111221,85170,37.45,-112.32
33893,17023,37.21,-107.79
36672,17423,37.23,-107.86
36433,17372,37.44,-108.47
34701,17125,37.28,-105.55
36715,17425,37.09,-105.52
34629,17055,37.18,-105.74
34682,17058,37.1,-102.57
33942,17028,37.68,-102.29
35412,17228,37.16,-102.27
91464,67031,36.94,-99.36
51437,38009,37.51,-98.82
51482,38010,37.16,-99.27
51174,38002,37.51,-95.32
52622,38302,37.36,-95.44
91236,67023,36.91,-95.12
70686,52004,36.85,-92.5
72075,52059,37.33,-92.83
70972,52013,37.51,-92.92
71689,52052,36.96,-90.54
72022,52058,37.51,-91.03
72468,52109,37.67,-90.64
71896,52056,37.24,-89.8
71956,52057,37.67,-90.07
70804,52008,37.25,-90.3
70745,52007,37.3,-89.52
46277,34059,37.23,-89.23
55009,39112,36.86,-89.04
47259,34081,37.46,-88.16
46441,34062,37.59,-88.5
46502,34063,37.07,-88.51
55373,39134,37.1,-87.35
54547,39035,37.71,-87.69
55315,39132,37.24,-87.33
53816,39006,36.99,-86.63
54944,39107,36.92,-86.33
54424,39028,37.25,-86.13
117731,90006,37.61,-81.11
117501,90001,37.72,-80.81
117671,90005,37.3,-81.15
113820,88024,37.33,-78.98
114672,88051,37.04,-79.07
113605,88020,37.53,-79.29
114293,88041,36.85,-78.59
114623,88049,37.23,-78.26
113765,88023,37.7,-78.78
25865,14083,37.98,-122.59
25561,14071,38.04,-122.86
32100,14302,38.37,-122.51
25104,14016,38.08,-121.75
32278,14320,37.93,-121.16
32354,14352,38.12,-121.52
30303,14156,37.74,-119.8
33194,14434,38.17,-120.03
25118,14018,38.34,-119.83
111132,85164,38.52,-113.67
110807,85119,37.89,-113.65
110343,85019,37.79,-113.45
111697,85316,38.3,-111.51
110735,85115,38.49,-112.0
110839,85121,37.82,-111.84
35908,17322,37.83,-108.76
36277,17365,38.27,-108.53
111925,85368,38.44,-109.38
34583,17052,37.79,-108.02
35749,17315,38.06,-108.46
36478,17373,37.94,-107.82
34766,17153,37.77,-107.0
36341,17367,38.05,-106.86
33787,17017,38.51,-106.75
34536,17050,38.17,-103.94
35236,17220,38.17,-103.23
35952,17327,37.95,-103.87
35889,17321,38.24,-102.21
33872,17021,38.14,-102.52
35251,17221,38.29,-102.73
51401,38008,37.92,-98.83
51856,38020,38.46,-98.97
53155,38314,38.31,-99.23
53025,38311,38.52,-96.91
53078,38312,38.2,-97.2
52722,38304,37.79,-97.46
51762,38017,38.36,-96.56
52663,38303,37.79,-96.43
51267,38004,37.98,-96.39
71325,52020,38.27,-92.9
71391,52021,38.58,-92.43
72186,52062,38.16,-92.59
70921,52011,37.9,-91.42
71193,52018,38.08,-91.98
72117,52061,38.35,-91.8
45743,34050,38.52,-89.81
46332,34060,37.97,-89.74
45676,34049,38.38,-90.25
46048,34055,38.44,-88.97
45934,34053,38.35,-89.29
48000,34317,38.49,-88.88
49025,35034,38.09,-87.39
49959,35316,37.91,-87.62
49428,35042,37.99,-87.44
54362,39026,37.93,-85.09
55429,39137,38.26,-85.2
55261,39127,37.82,-85.71
54724,39040,38.43,-84.16
54833,39043,38.16,-84.06
55075,39117,37.73,-83.56
118497,90030,38.37,-79.81
118325,90027,38.08,-80.22
118133,90024,38.34,-80.37
118562,90031,38.56,-79.42
113110,88004,38.19,-79.16
113053,88003,38.28,-79.45
113221,88006,38.45,-78.17
113715,88022,37.9,-78.54
113164,88005,38.57,-78.5
113394,88010,38.17,-77.21
113460,88012,38.62,-77.58
60708,46030,38.6,-77.07
62186,46126,38.5,-76.57
113985,88030,37.88,-76.67
60587,46028,38.55,-76.97
61485,46047,38.16,-75.57
62239,46145,38.3,-75.56
61551,46048,38.22,-75.26
24959,14011,39.52,-122.94
31841,14210,39.16,-123.22
25056,14014,38.8,-123.58
31280,14187,38.79,-121.84
25019,14012,39.27,-121.73
30408,14159,39.49,-121.6
30196,14153,38.76,-120.92
32801,14418,39.01,-120.82
31305,14188,38.76,-120.44
111736,85317,38.98,-110.16
110788,85118,38.73,-109.87
111392,85218,38.68,-109.47
34332,17045,38.73,-108.62
34721,17138,39.05,-108.57
33468,17008,39.4,-108.81
34966,17208,39.51,-108.46
35125,17216,38.83,-107.6
33742,17015,38.69,-108.13
35786,17318,38.64,-105.77
33613,17011,39.22,-105.27
34216,17041,39.08,-105.41
34517,17049,38.69,-104.07
33667,17012,39.37,-104.36
33848,17019,38.83,-104.09
52557,38038,39.17,-101.96
53444,38323,39.11,-101.72
52030,38024,38.72,-101.65
53120,38313,38.68,-98.77
52394,38032,39.34,-98.75
52000,38023,38.84,-99.46
52346,38031,39.19,-97.61
51705,38016,38.99,-96.9
